Size;DataType;Algorithm;Comparisons;Swaps;Time_us
10;random;classic;45;18;0
10;random;flag;45;18;0
10;random;bound;45;18;0
10;sorted;classic;45;0;0
10;sorted;flag;9;0;0
10;sorted;bound;9;0;0
10;reversed;classic;45;45;0
10;reversed;flag;45;45;0
10;reversed;bound;45;45;0
100;random;classic;4950;2522;0
100;random;flag;4697;2522;0
100;random;bound;4424;2522;0
100;sorted;classic;4950;0;0
100;sorted;flag;99;0;0
100;sorted;bound;99;0;0
100;reversed;classic;4950;4904;0
100;reversed;flag;4950;4904;0
100;reversed;bound;4950;4904;0
500;random;classic;124750;61627;9201
500;random;flag;124659;61627;0
500;random;bound;122519;61627;0
500;sorted;classic;124750;0;0
500;sorted;flag;499;0;0
500;sorted;bound;499;0;0
500;reversed;classic;124750;123517;0
500;reversed;flag;124740;123517;0
500;reversed;bound;124740;123517;0
1000;random;classic;499500;247028;8923
1000;random;flag;498122;247028;0
1000;random;bound;493889;247028;0
1000;sorted;classic;499500;0;0
1000;sorted;flag;999;0;0
1000;sorted;bound;999;0;0
1000;reversed;classic;499500;494460;0
1000;reversed;flag;499434;494460;13722
1000;reversed;bound;499434;494460;0
2000;random;classic;1999000;998350;19997
2000;random;flag;1998934;998350;14006
2000;random;bound;1997989;998350;15348
2000;sorted;classic;1999000;0;4144
2000;sorted;flag;1999;0;0
2000;sorted;bound;1999;0;0
2000;reversed;classic;1999000;1979011;16746
2000;reversed;flag;1998847;1979011;16002
2000;reversed;bound;1998847;1979011;25158
5000;random;classic;12497500;6195814;96695
5000;random;flag;12491614;6195814;156986
5000;random;bound;12479408;6195814;90984
5000;sorted;classic;12497500;0;36839
5000;sorted;flag;4999;0;0
5000;sorted;bound;4999;0;0
5000;reversed;classic;12497500;12372469;105690
5000;reversed;flag;12496122;12372469;111336
5000;reversed;bound;12496122;12372469;107495
10000;random;classic;49995000;24899044;425779
10000;random;flag;49982910;24899044;466936
10000;random;bound;49941700;24899044;410835
10000;sorted;classic;49995000;0;127169
10000;sorted;flag;9999;0;0
10000;sorted;bound;9999;0;0
10000;reversed;classic;49995000;49495680;432989
10000;reversed;flag;49989950;49495680;469619
10000;reversed;bound;49989950;49495680;438773
